id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1296494967909752833,1296494967909752833,1597943462000,2020-08-20,17:11:02,UTC,158800734,_suzannenoble,SuzanneNoble,,"In the #startup world, most great ideas never get off the ground. Driven #entrepreneurs develop countless products to solve #business and consumer issues, but for key reasons, they do not receive funding  

 https://buff.ly/37YCCLw 
@jimbarnish",['jimbarnish'],['https://buff.ly/37YCCLw'],[],0,0,0,"['#startup', '#entrepreneurs', '#business']",[],https://twitter.com/_SuzanneNoble/status/1296494967909752833,False,,0,,,,,,,"[{'user_id': '158800734', 'username': '_SuzanneNoble'}, {'user_id': '221529559', 'username': 'jimbarnish'}]",,,,
1296494583870894082,1296494583870894082,1597943371000,2020-08-20,17:09:31,UTC,871386790967615488,fletcher0xff,Ashley Fletcher,,I like the idea we're worried about a startup founder who sticks with the company for 60 years.  https://twitter.com/zaoyang/status/1296331022968078336 …,[],['https://twitter.com/zaoyang/status/1296331022968078336'],[],0,0,1,[],[],https://twitter.com/fletcher0xFF/status/1296494583870894082,False,https://twitter.com/zaoyang/status/1296331022968078336,0,,,,,,,"[{'user_id': '871386790967615488', 'username': 'fletcher0xFF'}]",,,,
1296494311606030338,1296494311606030338,1597943306000,2020-08-20,17:08:26,UTC,1198308225663287296,sky_content,Content Sky,,"++STARTUP IDEA OF THE DAY++
A virtual assistant for young parents
#Entrepreneur #Business #Entrepreneurship #WontStop #Success #Hustle #OnlineBusiness #Ambition #Inspire #ThinkBig #Startup #Businessman #BeYourOwnBoss #Motivate",[],[],[],1,1,0,"['#entrepreneur', '#business', '#entrepreneurship', '#wontstop', '#success', '#hustle', '#onlinebusiness', '#ambition', '#inspire', '#thinkbig', '#startup', '#businessman', '#beyourownboss', '#motivate']",[],https://twitter.com/sky_content/status/1296494311606030338,False,,0,,,,,,,"[{'user_id': '1198308225663287296', 'username': 'sky_content'}]",,,,
1296493493725077504,1296493493725077504,1597943111000,2020-08-20,17:05:11,UTC,347550951,tribecavp,Tribeca Venture Partners,,"We love this idea around saving feedback @petedavisuk! 
#leadership #customersuccess #startups #motivation https://twitter.com/petedavisuk/status/1296324965533282305 …",['petedavisuk'],['https://twitter.com/petedavisuk/status/1296324965533282305'],[],0,0,1,"['#leadership', '#customersuccess', '#startups', '#motivation']",[],https://twitter.com/tribecavp/status/1296493493725077504,False,https://twitter.com/petedavisuk/status/1296324965533282305,0,,,,,,,"[{'user_id': '347550951', 'username': 'tribecavp'}, {'user_id': '17883043', 'username': 'petedavisuk'}]",,,,
1296492282099773441,1296492282099773441,1597942822000,2020-08-20,17:00:22,UTC,240159577,alessia_camera,Alessia Camera,,"Sei un'artista o un'imprenditore? Ho creato un test che fa riflettere, perché avere un'idea è la parte più facile di questa cosa di fare una #startup  https://ift.tt/3dAw4FU  pic.twitter.com/bhzGiHFxwA",[],['https://ift.tt/3dAw4FU'],['https://pbs.twimg.com/media/Ef4Q3CvWoAE1sNm.jpg'],0,1,0,['#startup'],[],https://twitter.com/alessia_camera/status/1296492282099773441,False,,0,,,,,,,"[{'user_id': '240159577', 'username': 'alessia_camera'}]",,,,
1296491709686259712,1296469830153965568,1597942685000,2020-08-20,16:58:05,UTC,28300534,skaragiannis,Sotiris 🇬🇷🇪🇺🇺🇸 🏴󠁧󠁢󠁳󠁣󠁴󠁿,,"#GregPfleger has been a great friend and I look forward to meet and discuss those issues and contribute ideas on bringing US investments in the region as well promote Hellenic startups in the US market 
#technology #startups #innovation",['usconsulatethes'],[],[],0,0,0,"['#gregpfleger', '#technology', '#startups', '#innovation']",[],https://twitter.com/skaragiannis/status/1296491709686259712,False,,0,,,,,,,"[{'user_id': '28300534', 'username': 'skaragiannis'}, {'user_id': '1171664270', 'username': 'USConsulateThes'}]",,,,
1296491194776727553,1296491194776727553,1597942563000,2020-08-20,16:56:03,UTC,2981339967,hotteststartups,Hottest Startups,,Startup idea: Enter Robert Parker and the Wine Advocate which he publishes regularly.,[],[],[],0,0,0,[],[],https://twitter.com/HottestStartups/status/1296491194776727553,False,,0,,,,,,,"[{'user_id': '2981339967', 'username': 'HottestStartups'}]",,,,
1296490812470173696,1296490812470173696,1597942471000,2020-08-20,16:54:31,UTC,1283017308055588864,kabchefs,Kabchefs,,#kabchefs #startupindia #startups #business #students #Opportunity #techstartup #innovative #entrepreneur #ideas #growth pic.twitter.com/VLLsZjRAAj,[],[],['https://pbs.twimg.com/media/Ef4PgMgU4AA6OY7.jpg'],0,0,0,"['#kabchefs', '#startupindia', '#startups', '#business', '#students', '#opportunity', '#techstartup', '#innovative', '#entrepreneur', '#ideas', '#growth']",[],https://twitter.com/kabchefs/status/1296490812470173696,False,,0,,,,,,,"[{'user_id': '1283017308055588864', 'username': 'kabchefs'}]",,,,
1296489686651854848,1296489686651854848,1597942203000,2020-08-20,16:50:03,UTC,12231022,centredigimedia,CDM,,"🙌 RT @Quupe_Inc: Throwback to the time Quupe founders pitched the idea of a circular economy platform at the CDM in 2016 💡
📍Location: @centredigimedia
#Quupe #QuupeLife #Founders #StartUp #Entrepreneur #SharingIsCaring #DreamBig #Vancouver #Freerow pic.twitter.com/XNXc3J8VvS","['quupe_inc', 'centredigimedia']",[],['https://pbs.twimg.com/media/EfzU98FWsAEi3Cu.jpg'],0,0,2,"['#quupe', '#quupelife', '#founders', '#startup', '#entrepreneur', '#sharingiscaring', '#dreambig', '#vancouver', '#freerow']",[],https://twitter.com/CentreDigiMedia/status/1296489686651854848,False,,0,,,,,,,"[{'user_id': '12231022', 'username': 'CentreDigiMedia'}, {'user_id': '775886247201910784', 'username': 'Quupe_Inc'}]",,,,
1296488928174891009,1296488928174891009,1597942022000,2020-08-20,16:47:02,UTC,926464763034587136,digitranstop,Top Digital Transformation,,"Startup Strategy: teams and talent are important, but not as important as conceiving or pivoting to “an idea that addresses an amazing point of pain around which consumers were desperate for a solution.”

Source >> @raconteur @antgrasso  http://bit.ly/3hNprB8  #Startups  pic.twitter.com/OE2poH5mG6","['raconteur', 'antgrasso']",['http://bit.ly/3hNprB8'],['https://pbs.twimg.com/media/Ef4NwDXXgAUt8TW.png'],0,3,2,['#startups'],[],https://twitter.com/DigiTransTop/status/1296488928174891009,False,,0,,,,,,,"[{'user_id': '926464763034587136', 'username': 'DigiTransTop'}, {'user_id': '44664072', 'username': 'raconteur'}, {'user_id': '4338452835', 'username': 'antgrasso'}]",,,,
